file,total_features,polygon_features,multipolygon_features,geometrycollection_with_polygons,features_with_polygon_any
data2/122111002.geojson,42071,42071,0,0,42071
data2/122111003.geojson,29047,29047,0,0,29047
data2/122111010.geojson,27745,27745,0,0,27745
data2/122111011.geojson,42607,42607,0,0,42607
data2/122111012.geojson,33920,33920,0,0,33920
data2/122111013.geojson,40581,40581,0,0,40581
data2/122111020.geojson,70114,70114,0,0,70114
data2/122111021.geojson,25560,25560,0,0,25560
data2/122111022.geojson,29770,29770,0,0,29770
data2/122111023.geojson,50132,50132,0,0,50132
data2/122111030.geojson,38343,38343,0,0,38343
data2/122111031.geojson,31795,31795,0,0,31795
data2/122111032.geojson,48761,48761,0,0,48761
data2/122111033.geojson,52305,52305,0,0,52305
data2/122111100.geojson,45238,45238,0,0,45238
data2/122111101.geojson,47164,47164,0,0,47164
data2/122111102.geojson,25052,25052,0,0,25052
data2/122111103.geojson,25265,25265,0,0,25265
data2/122111110.geojson,7664,7664,0,0,7664
data2/122111112.geojson,43516,43516,0,0,43516
data2/122111113.geojson,6854,6854,0,0,6854
data2/122111120.geojson,38173,38173,0,0,38173
data2/122111121.geojson,64475,64475,0,0,64475
data2/122111122.geojson,73090,73090,0,0,73090
data2/122111123.geojson,86558,86558,0,0,86558
data2/122111130.geojson,80303,80303,0,0,80303
data2/122111131.geojson,10825,10825,0,0,10825
data2/122111132.geojson,51688,51688,0,0,51688
data2/122111200.geojson,47107,47107,0,0,47107
data2/122111201.geojson,51633,51633,0,0,51633
data2/122111202.geojson,80558,80558,0,0,80558
data2/122111203.geojson,109087,109087,0,0,109087
data2/122111210.geojson,35954,35954,0,0,35954
data2/122111211.geojson,64474,64474,0,0,64474
data2/122111212.geojson,95290,95290,0,0,95290
data2/122111213.geojson,58630,58630,0,0,58630
data2/122111220.geojson,73067,73067,0,0,73067
data2/122111221.geojson,89453,89453,0,0,89453
data2/122111222.geojson,51241,51241,0,0,51241
data2/122111223.geojson,32355,32355,0,0,32355
data2/122111230.geojson,44969,44969,0,0,44969
data2/122111231.geojson,46423,46423,0,0,46423
data2/122111232.geojson,15219,15219,0,0,15219
data2/122111233.geojson,3341,3341,0,0,3341
data2/122111300.geojson,40301,40301,0,0,40301
data2/122111301.geojson,127789,127789,0,0,127789
data2/122111302.geojson,22803,22803,0,0,22803
data2/122111303.geojson,13261,13261,0,0,13261
data2/122111310.geojson,47443,47443,0,0,47443
data2/122111311.geojson,2275,2275,0,0,2275
data2/122111312.geojson,26826,26826,0,0,26826
data2/122111313.geojson,1883,1883,0,0,1883
data2/122111320.geojson,50050,50050,0,0,50050
data2/122111321.geojson,13515,13515,0,0,13515
data2/122111322.geojson,715,715,0,0,715
data2/122111330.geojson,30276,30276,0,0,30276
data2/122111331.geojson,21152,21152,0,0,21152
data2/122111332.geojson,1491,1491,0,0,1491
data2/122111333.geojson,5421,5421,0,0,5421
data2/122112000.geojson,44939,44939,0,0,44939
data2/122112010.geojson,5393,5393,0,0,5393
data2/122112011.geojson,249055,249055,0,0,249055
data2/122112013.geojson,14758,14758,0,0,14758
data2/122112100.geojson,22254,22254,0,0,22254
